name,unique_exits,total_exits,exit_rate
/,33,34,64.0
/wissen/artikel/gpke-geschaeftsprozesse,11,11,91.0
/app/login,8,8,44.0
/wissen/lokationsbuendel-im-deutschen-energiemarkt-struktur-funktion-und-anwendung,7,7,70.0
/wissen/gpke-geschaeftsprozesse-und-marktkommunikation-im-deutschen-strommarkt,6,6,54.0
/wissen/artikel/makomabishub,6,6,85.0
/glossary/sekundaertechnik,6,6,100.0
/wissen/bilateraler-stammdatenabgleich-fehlerbehebung-und-harmonisierung-in-der-marktkommunikation,5,6,42.0
/wissen/fristen-im-prozess-der-ersatz-und-grundversorgung-gpke,5,5,71.0
/wissen/ersatz-und-grundversorgung-eog-im-strommarkt,4,4,80.0
/wissen/malo-id-ermittlung-via-webapi-im-gpke-basierten-lieferantenwechsel,4,4,100.0
/wissen/artikel/utilmd-stammdaten,4,4,57.0
/wissen/sperr-und-entsperrprozess-ablauf-aus-sicht-des-netzbetreibers-nb,4,4,66.0
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-edifact-basierter-datenaustausch,4,4,66.0
/wissen/artikel/agnes-netzentgeltsystematik,4,4,100.0
/app/message-analyzer,3,3,75.0
/wissen/gpke-statusmeldungen-bedeutung-und-anwendung-im-lieferantenwechsel-und-bei-konfigurationsaenderungen,3,4,57.0
/wissen/lieferantenwechsel-im-strommarkt-rechtliche-grundlagen-und-gpke-prozesse-fuer-energiefachkraefte,3,3,37.0
/whitepaper/mabis-hub,3,3,50.0
/wissen/utilmd-mscons-validierung-von-messwerten-im-deutschen-energiemarkt,3,3,37.0
/wissen/intelligente-messsysteme-imsys-in-der-marktkommunikation-prozesse-sicherheit-und-rollout,3,3,100.0
/wissen/mehr-mindermengenabrechnung-im-strommarkt-ausgleichsenergie-bilanzkreise-und-prozesse,3,3,100.0
/data/codeliste-obis-kennzahlen-medien-2-5b-20240125/Codeliste-OBIS-Kennzahlen_Medien_2_5b_20240125.pdf,3,3,100.0
/wissen/24h-lieferantenwechsel-ein-leitfaden-fuer-die-erfolgreiche-umsetzung,3,3,100.0
/wissen/faq-fehler-z17-zustaendigkeitsfehler-bei-markt-messlokationszuordnung-in-der-energiemarktkommunikation,3,3,100.0
/wissen/14a-enwg-steuerung-von-verbrauchseinrichtungen-und-umsetzung-in-der-marktkommunikation,3,4,80.0
/wissen/utilmd-der-standard-fuer-stammdatenaustausch-im-deutschen-energiemarkt,3,3,42.0
/wissen/artikel/remadv-zahlungsavis,3,3,75.0
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-zusammenspiel-von-nb-msb-und-lf,2,2,25.0
/app,2,2,18.0
/chat/0e98c0a6-ba1e-4cf2-bda0-e526a6a71d81,2,3,60.0
/wissen/utilmd-und-mscons-detailliertes-zusammenspiel-in-der-marktkommunikation,2,2,100.0
/wissen/sperr-und-entsperrprozesse-aus-sicht-des-energielieferanten,2,2,66.0
/articles/gpke-geschaeftsprozesse,2,2,100.0
/wissen,2,2,13.0
/wissen/14a-enwg-netzorientierte-steuerung-von-verbrauchseinrichtungen-in-der-marktkommunikation,2,2,100.0
/wissen/gpke-fristen-im-lieferantenwechsel,2,2,100.0
/wissen/thema/wim,2,2,100.0
/beratung,2,2,50.0
/wissen/zeitreihen-in-der-energiewirtschaft-definition-bedeutung-und-anwendungen,2,2,100.0
/wissen/partin-nachricht-stammdatenmanagement-im-deutschen-energiemarkt,2,2,50.0
/wissen/remadv-im-energiemarkt-strukturierte-zahlungsavis-fuer-reibungslose-prozesse,2,2,100.0
/training/key_performance_indicators,2,2,100.0
/wissen/messwerte-im-energiemarkt-verantwortlichkeiten-prozesse-und-rechtliche-grundlagen,2,2,100.0
/chat/40517851-e97e-4220-aa40-fca14b9d800e,1,1,50.0
/daten-atlas/datenelemente/imd-7081-produkt-leistung-code,1,1,100.0
/egefragt/rundsteuerempfaenger,1,1,100.0
/app/admin,1,1,50.0
/daten-atlas/prozesse/netznutzungsabrechnung,1,1,100.0
/wissen/schnittstellen-der-marktkommunikation-zu-anderen-unternehmensbereichen-in-der-energiewirtschaft,1,1,33.0
/app/workspace,1,1,100.0
/wissen/netzregulierung-assetmanagement-kernaufgaben-rahmenbedingungen-und-optimierung,1,1,100.0
/wissen/sperrung-und-entsperrung-von-netzanschluessen-verantwortlichkeiten-von-nb-und-msb,1,1,100.0
/wissen/marktkommunikation-fuer-stromlieferanten-prozesse-standards-und-herausforderungen,1,1,50.0
/daten-atlas/datenelemente/aperak-ebene-name,1,1,100.0
/mcp-service,1,1,20.0
/app/register,1,1,16.0
/chat/79e4897f-b00c-48a0-a8a9-7dbb3444d286,1,1,100.0
/wissen/artikel/sperrprozess-strom-gas,1,1,100.0
/wissen/sperrauftrag-bei-lieferantenwechsel-gpke-behandlung-und-fristen,1,1,100.0
/checkliste/gpke-fristen,1,1,100.0
/impressum,1,1,20.0
/wissen/artikel/4-phasen-workflow-klaerfallmanagement,1,1,100.0
/chat/3ba48a1b-dbf3-409a-839e-972d9b9b7854,1,1,100.0
/daten-atlas/datenelemente/ide-g-0086-codeliste-gas-nr-g-0086-codeliste-zur-prufung-auf-die-stornorechnung-rechnung-vom-msbn-an-den-msba,1,1,100.0
/wissen/angenommen-ein-kunde-hat-fragen-zu-einer-ungewoehnlich-hohen-energierechnung-welche-schritte-wuerden-sie-unternehmen-um-die-ursache-zu-ermitteln-und-dem-kunden-zu-helfen-erwaehnen-sie-auch-moegliche-ursachen-die-ausserhalb-der-marktkommunikation-liegen,1,1,100.0
/wissen/netzanschluss-entsperrung-beim-lieferantenwechsel-prozesse-marktrollen-und-technische-details,1,1,50.0
/wissen/lfw24-der-24-stunden-lieferantenwechsel-im-energiemarkt-beschleunigung-und-automatisierung,1,1,100.0
/training/ebms_3.0,1,1,100.0
/tags/kommunikation,1,1,100.0
/daten-atlas/datenelemente/ide-1004-identifikator-des-edi-standards,1,1,100.0
/chat/03bf23a8-debf-4a2b-8356-7b92036653a2,1,1,100.0
/app/forgot-password,1,1,100.0
/karriere,1,1,100.0
/articles/lieferantenwechsel-prozess,1,1,50.0
/whitepaper/exzellenz-bilaterale-klaerung,1,1,100.0
/community/public/bk6-24-210-webservice,1,1,100.0
/app/code-lookup,1,1,50.0
/chat/60158acf-8a2b-4996-85e2-573a476ce974,1,1,100.0
/wissen/datenaustausch-in-der-marktkommunikation-lieferanten-und-netzbetreiber,1,1,100.0
/daten-atlas/datenelemente/bgm-z29-abrechnung-des-messstellenbetriebs-vom-msb-an-den-lf,1,1,50.0
/articles/utilmd-stammdaten,1,1,50.0
/app/faqs/9e0bcf34-63ed-42be-ab75-3470aeee6d04,1,1,100.0
/wissen/artikel/bk6-24-210-verfahrensstand,1,1,100.0
/app/faqs/3c91f1c7-910c-42df-ba9a-20e561d5327b,1,1,50.0
/wissen/pv-stromnutzung-ueber-standortgrenzen-hinweg-bilanzielle-durchleitung-ppa-und-energy-sharing,1,1,100.0
/daten-atlas/datenelemente/dtm-0060-vorgangerversion,1,1,100.0
/articles/standardlastprofile-2025,1,1,100.0
/training/sap_is-u_edm,1,1,100.0
/tags/-42b-enwg,1,1,100.0
/wissen/faq-behebung-von-aperak-fehlercode-z20-im-messwertclearing-cs-3-0,1,1,100.0
/wissen/abrechnung-von-messentgelten-zwischen-messstellenbetreiber-und-lieferant,1,1,50.0
/data/codeliste-obis-kennzahlen-medien-2-5b-20240125,1,1,25.0
/wissen/artikel/imsys-rollout-prozess,1,2,100.0
/tags/energiepolitik,1,1,100.0
/egefragt/arbeitspreis,1,1,100.0
/wissen/thema/energiemarkt,1,1,100.0
/glossary/messstellenbetriebsgesetz,1,1,100.0
/tags/onshore-wind,1,1,100.0
/wissen/thema/marktkommunikation,1,1,100.0
