Land,Klicks,Impressionen,CTR,Position
Deutschland,53,1691,3.13%,9.33
Österreich,3,34,8.82%,9.79
Italien,1,9,11.11%,6.22
USA,0,108,0%,6.37
Frankreich,0,22,0%,5.68
Schweiz,0,20,0%,15.2
Niederlande,0,19,0%,6.21
Türkei,0,19,0%,7.26
Vereinigtes Königreich,0,14,0%,5.57
Polen,0,13,0%,6.15
Spanien,0,13,0%,6.92
Indien,0,10,0%,8.2
Ägypten,0,5,0%,6.4
Bulgarien,0,5,0%,9.2
Rumänien,0,4,0%,7
Griechenland,0,4,0%,7.75
Portugal,0,3,0%,3
Algerien,0,3,0%,5
Ungarn,0,3,0%,5.67
Singapur,0,3,0%,6
Südkorea,0,3,0%,6.67
Vietnam,0,3,0%,6.67
Ukraine,0,3,0%,7.67
Brasilien,0,3,0%,41.67
Irland,0,2,0%,3.5
Norwegen,0,2,0%,6
Kroatien,0,2,0%,6.5
Kanada,0,2,0%,7.5
Marokko,0,2,0%,8.5
Taiwan,0,2,0%,8.5
Saudi-Arabien,0,2,0%,9.5
Finnland,0,2,0%,10
Indonesien,0,2,0%,10
Kolumbien,0,2,0%,10.5
Argentinien,0,2,0%,19.5
Bosnien und Herzegowina,0,1,0%,1
Kosovo,0,1,0%,1
Bangladesch,0,1,0%,2
Irak,0,1,0%,2
Vereinigte Arabische Emirate,0,1,0%,3
Kenia,0,1,0%,3
Mazedonien,0,1,0%,3
Russland,0,1,0%,3
Zypern,0,1,0%,4
Dänemark,0,1,0%,4
Philippinen,0,1,0%,4
Schweden,0,1,0%,4
Australien,0,1,0%,5
Tschechien,0,1,0%,5
Malaysia,0,1,0%,5
Armenien,0,1,0%,6
Aserbaidschan,0,1,0%,6
Kasachstan,0,1,0%,6
Paraguay,0,1,0%,6
Nigeria,0,1,0%,8
Südafrika,0,1,0%,8
Bolivien,0,1,0%,9
Kambodscha,0,1,0%,10
Laos,0,1,0%,10
Thailand,0,1,0%,12
Belgien,0,1,0%,17